radio_flux_10.7cm;sesc_sunspot_number;sunspot_area;goes15_xray_bkgd_flux;mwl_alpha;mwl_beta;mwl_gamma;mwl_beta_gamma;mwl_delta;mwl_beta_delta;mwl_beta_gamma_delta;mwl_gamma_delta;c_class_flares;m_class_flares;x_class_flares
75;11;60;A1.5;yes;no;no;no;no;no;no;no;0;0;0
76;30;190;A4.2;yes;no;no;no;no;no;no;no;0;0;0
77;11;20;A8.0;yes;no;no;no;no;no;no;no;0;0;0
78;0;0;A5.3;yes;no;no;no;no;no;no;no;0;0;0
82;32;90;A5.9;no;no;no;no;no;no;no;no;2;0;0
84;30;160;B1.4;no;yes;no;no;no;no;no;no;2;0;0
82;33;110;A7.2;yes;yes;no;no;no;no;no;no;0;0;0
91;61;220;B1.2;yes;yes;no;no;no;no;no;no;0;0;0
92;67;280;B2.0;yes;no;no;yes;no;no;no;no;2;1;0
92;69;220;B7.7;yes;no;no;yes;no;no;no;no;1;0;0
96;80;240;B1.3;no;yes;no;yes;no;no;no;no;3;0;0
93;90;240;B1.9;yes;yes;no;no;no;no;no;no;2;0;0
92;67;240;B1.2;yes;no;no;yes;no;no;no;no;3;1;0
93;55;250;B2.5;yes;yes;no;no;no;no;no;no;4;0;0
93;56;320;B1.5;yes;yes;no;no;no;no;no;no;0;0;0
96;79;400;B1.7;yes;yes;no;no;no;no;no;no;1;0;0
98;85;410;B2.0;yes;yes;no;no;no;no;no;no;1;0;0
102;84;640;B4.2;yes;yes;no;no;no;no;no;no;3;0;0
119;97;1000;B3.1;yes;yes;no;no;no;no;no;no;4;1;0
116;101;1370;B4.2;no;yes;no;no;no;no;no;no;2;0;0
115;95;1590;B2.8;no;yes;no;yes;no;no;no;no;1;0;0
109;98;1450;B2.1;no;yes;no;yes;no;no;no;no;0;0;0
109;97;1050;B1.9;no;yes;no;yes;no;no;no;no;3;0;0
108;51;760;B2.4;no;yes;no;no;no;no;yes;no;1;0;0
103;74;790;B2.0;no;yes;no;yes;no;no;no;no;6;0;0
98;61;770;B3.6;yes;yes;no;yes;no;no;no;no;5;0;0
95;62;790;B2.3;no;yes;no;yes;no;no;no;no;2;0;0
93;52;490;B1.9;yes;yes;no;no;no;no;no;no;6;2;0
88;30;200;B3.2;yes;yes;no;no;no;no;no;no;6;0;0
88;18;90;B2.4;yes;yes;no;no;no;no;no;no;4;0;0
88;15;60;B3.3;no;yes;no;no;no;no;no;no;1;0;0
85;39;90;B2.0;no;yes;no;no;no;no;no;no;1;0;0
89;47;230;B1.0;yes;yes;no;no;no;no;no;no;7;0;0
92;48;290;B1.0;yes;yes;no;no;no;no;no;no;3;0;0
93;47;300;B2.6;yes;yes;no;no;no;no;no;no;5;2;0
89;50;320;B1.5;yes;no;no;yes;no;no;no;no;2;0;0
89;40;260;A9.1;no;yes;no;yes;no;no;no;no;1;0;0
88;33;240;A6.6;yes;yes;no;no;no;no;no;no;0;0;0
87;23;260;B1.4;yes;yes;no;no;no;no;no;no;1;0;0
90;27;220;A8.9;no;yes;no;no;no;no;no;no;1;0;0
88;25;260;B2.1;yes;yes;no;no;no;no;no;no;0;0;0
87;38;160;B1.8;yes;yes;no;no;no;no;no;no;0;0;0
86;26;80;A8.5;yes;yes;no;no;no;no;no;no;1;0;0
86;27;90;A7.9;yes;yes;no;no;no;no;no;no;0;0;0
83;26;70;A7.3;yes;yes;no;no;no;no;no;no;0;0;0
84;26;40;A4.3;yes;yes;no;no;no;no;no;no;0;0;0
84;24;20;A3.7;yes;yes;no;no;no;no;no;no;0;0;0
84;35;10;A3.7;yes;yes;no;no;no;no;no;no;0;0;0
83;17;10;A4.4;yes;yes;no;no;no;no;no;no;0;0;0
84;27;20;A3.5;no;yes;no;no;no;no;no;no;0;0;0
84;44;40;A4.1;no;yes;no;no;no;no;no;no;0;0;0
86;31;50;A3.1;yes;yes;no;no;no;no;no;no;0;0;0
89;60;90;A4.5;no;yes;no;no;no;no;no;no;0;0;0
88;48;110;A6.8;yes;yes;no;no;no;no;no;no;1;0;0
85;44;110;A6.5;yes;yes;no;no;no;no;no;no;0;0;0
87;47;180;A5.8;yes;yes;no;no;no;no;no;no;0;0;0
88;45;170;A7.2;yes;yes;no;no;no;no;no;no;0;0;0
88;52;190;B2.3;no;yes;no;no;no;no;no;no;0;0;0
87;45;130;NA;no;yes;no;no;no;no;no;no;0;0;0
85;37;90;NA;no;yes;no;no;no;no;no;no;0;0;0
83;25;60;NA;yes;yes;no;no;no;no;no;no;0;0;0
85;27;50;A4.8;yes;no;no;no;no;no;no;no;1;0;0
81;13;10;A6.0;no;yes;no;no;no;no;no;no;0;0;0
80;0;0;A1.6;no;yes;no;no;no;no;no;no;0;0;0
79;11;0;A1.3;no;no;no;no;no;no;no;no;0;0;0
81;13;20;A1.6;yes;no;no;no;no;no;no;no;0;0;0
82;14;30;A4.3;no;yes;no;no;no;no;no;no;0;0;0
84;44;140;A5.1;no;yes;no;no;no;no;no;no;0;0;0
86;50;190;A5.4;no;yes;no;no;no;no;no;no;2;0;0
87;41;210;A5.2;yes;yes;no;no;no;no;no;no;0;0;0
88;51;250;A7.1;no;yes;no;no;no;no;no;no;0;0;0
91;55;290;A6.8;no;yes;no;yes;no;no;no;no;0;0;0
93;62;230;B1.2;yes;yes;no;yes;no;no;no;no;0;0;0
98;74;340;A8.3;no;yes;no;yes;no;no;no;no;2;0;0
110;66;660;B2.2;yes;yes;no;yes;no;no;no;no;15;3;0
118;68;1030;C1.5;yes;no;no;no;no;no;yes;no;13;2;1
114;51;940;B8.2;no;yes;no;no;no;no;yes;no;7;0;0
105;60;840;B9.7;no;yes;no;no;no;no;yes;no;3;0;1
94;60;690;B2.2;no;yes;no;yes;no;no;no;no;2;0;0
90;61;580;B1.9;yes;no;no;yes;no;no;no;no;1;0;0
86;40;40;B1.2;yes;yes;no;no;no;no;no;no;0;0;0
89;28;120;A9.5;yes;yes;no;no;no;no;no;no;4;0;0
92;28;160;B1.7;yes;yes;no;no;no;no;no;no;4;0;0
87;26;100;B2.2;no;yes;no;no;no;no;no;no;4;0;0
90;41;180;B2.1;no;yes;no;no;no;no;no;no;10;0;0
93;48;350;B1.7;yes;yes;no;no;no;no;no;no;3;0;0
96;35;450;B2.0;yes;yes;no;no;no;no;no;no;2;0;0
96;58;390;B3.6;no;yes;no;yes;no;no;no;no;3;0;0
94;74;450;B2.3;yes;no;no;yes;no;no;no;no;3;0;0
92;71;380;B1.1;yes;yes;no;no;no;no;yes;no;0;0;0
99;62;290;A7.3;yes;yes;no;yes;no;no;no;no;1;0;0
89;57;310;B3.0;yes;yes;no;no;no;no;yes;no;0;0;0
96;52;360;B1.0;no;yes;no;yes;no;no;no;no;4;0;0
100;62;410;B1.5;no;yes;no;no;no;no;yes;no;2;0;0
100;70;350;B1.9;yes;yes;no;no;no;no;no;no;2;0;0
103;61;320;B1.7;yes;yes;no;yes;no;no;no;no;2;1;0
102;58;260;B3.1;yes;yes;no;no;no;no;no;no;9;0;0
108;43;360;B3.7;yes;yes;no;no;no;no;no;no;5;1;0
111;44;620;B3.4;yes;yes;no;no;no;no;no;no;6;0;1
116;40;680;B5.9;yes;yes;no;no;no;no;no;no;6;2;0
112;48;720;B4.4;yes;no;no;no;no;no;yes;no;3;1;0
112;56;940;B4.0;yes;no;no;yes;no;no;no;no;3;0;0
117;73;560;B2.3;no;no;no;no;no;no;yes;no;7;1;0
112;54;610;B2.4;yes;no;no;yes;no;no;no;no;1;0;0
112;54;610;B4.4;no;no;no;yes;no;no;no;no;7;0;0
107;34;320;B1.9;no;yes;no;yes;no;no;no;no;1;0;0
104;58;350;B1.5;yes;yes;no;no;no;no;no;no;0;0;0
109;44;320;B1.5;yes;yes;no;no;no;no;no;no;2;0;0
99;70;290;B3.9;no;yes;no;no;no;no;no;no;0;0;0
98;97;270;B1.3;yes;yes;no;no;no;no;no;no;0;0;0
97;94;270;B1.7;yes;yes;no;no;no;no;no;no;0;0;0
95;72;280;B1.5;no;yes;no;no;no;no;no;no;0;0;0
96;99;230;B1.5;yes;yes;no;no;no;no;no;no;0;0;0
93;64;250;B1.8;yes;yes;no;no;no;no;no;no;4;0;0
89;70;260;B1.1;yes;yes;no;no;no;no;no;no;0;0;0
90;66;230;B1.6;yes;yes;no;no;no;no;no;no;1;0;0
89;56;220;B1.4;yes;yes;no;no;no;no;no;no;2;0;0
85;43;240;B1.1;yes;yes;no;no;no;no;no;no;0;0;0
86;42;200;A6.2;yes;yes;no;no;no;no;no;no;0;0;0
86;35;130;A4.5;yes;yes;no;no;no;no;no;no;0;0;0
90;16;70;B1.5;no;yes;no;no;no;no;no;no;1;0;0
90;27;110;B2.2;no;yes;no;no;no;no;no;no;0;0;0
92;30;190;B1.9;yes;yes;no;no;no;no;no;no;2;0;0
97;41;260;B1.6;no;yes;no;no;no;no;no;no;3;0;0
104;72;700;B2.1;yes;no;no;yes;no;no;no;no;0;0;0
108;67;520;B1.9;yes;yes;no;no;no;no;yes;no;0;0;0
105;56;470;B1.4;yes;yes;no;no;no;no;yes;no;0;0;0
105;50;460;B1.8;yes;no;no;yes;no;no;no;no;1;0;0
96;56;420;B1.4;yes;yes;no;yes;no;no;no;no;1;0;0
102;55;410;B1.2;yes;yes;no;yes;no;no;no;no;0;0;0
104;79;470;B1.2;no;yes;no;yes;no;no;no;no;0;0;0
101;56;430;B1.4;no;yes;no;no;no;no;yes;no;0;0;0
105;64;430;B1.2;no;yes;no;yes;no;no;yes;no;4;0;0
102;55;390;B1.6;yes;yes;no;no;no;no;yes;no;3;1;0
101;50;290;B2.2;no;yes;no;yes;no;no;no;no;2;1;0
101;31;160;B4.1;yes;yes;no;no;no;no;no;no;1;1;0
91;30;120;B1.2;no;yes;no;no;no;no;no;no;0;0;0
89;22;50;A7.8;no;yes;no;no;no;no;no;no;1;0;0
87;23;20;A5.5;yes;no;no;no;no;no;no;no;0;0;0
85;0;0;A4.1;yes;no;no;no;no;no;no;no;0;0;0
82;0;0;A2.8;no;no;no;no;no;no;no;no;0;0;0
82;0;0;A2.0;no;no;no;no;no;no;no;no;0;0;0
81;14;10;A1.2;no;no;no;no;no;no;no;no;0;0;0
85;51;40;A1.2;no;yes;no;no;no;no;no;no;0;0;0
96;60;200;A9.4;yes;yes;no;no;no;no;no;no;10;0;0
90;54;160;B2.2;yes;yes;no;yes;no;no;no;no;1;0;0
94;43;190;B1.1;yes;yes;no;yes;no;no;no;no;3;0;0
98;46;350;B3.2;no;yes;no;yes;no;no;no;no;5;1;0
98;88;350;B1.7;no;yes;no;yes;no;no;no;no;0;0;0
96;89;330;B1.2;yes;yes;no;yes;no;no;no;no;0;0;0
95;67;270;A9.2;yes;yes;no;yes;no;no;no;no;0;0;0
94;88;90;A9.4;yes;yes;no;no;no;no;no;no;0;0;0
91;50;30;A9.2;yes;yes;no;no;no;no;no;no;1;0;0
91;25;10;A7.1;yes;yes;no;no;no;no;no;no;0;0;0
93;37;30;A6.1;no;yes;no;no;no;no;no;no;0;0;0
97;57;100;A9.7;yes;yes;no;no;no;no;no;no;0;0;0
98;88;250;B1.2;yes;yes;no;no;no;no;no;no;0;0;0
108;104;350;B1.1;yes;yes;no;no;no;no;no;no;2;1;0
100;99;420;B1.4;yes;yes;no;yes;no;no;no;no;2;0;0
