,year,month,date,date_in_Fraction,daily total sunspot number,daily std dev,number of stations,definitive/provisional marker
360,1997,12,27,1997.988,55,3.2,16,0
361,1997,12,28,1997.99,51,3.7,16,0
362,1997,12,29,1997.993,55,3.8,15,0
363,1997,12,30,1997.996,61,2.9,18,0
364,1997,12,31,1997.999,61,3.8,14,0
365,1998,1,1,1998.001,54,2.8,20,0
366,1998,1,2,1998.004,43,2.9,16,0
367,1998,1,3,1998.007,32,2.5,17,0
368,1998,1,4,1998.01,28,3.7,15,0
369,1998,1,5,1998.012,14,2.5,20,0
370,1998,1,6,1998.015,1,0.6,17,0
371,1998,1,7,1998.018,0,2.0,20,0
372,1998,1,8,1998.021,0,2.0,16,0
373,1998,1,9,1998.023,0,2.0,20,0
374,1998,1,10,1998.026,14,4.2,22,0
375,1998,1,11,1998.029,38,7.5,20,0
376,1998,1,12,1998.032,53,3.3,17,0
377,1998,1,13,1998.034,50,3.6,20,0
378,1998,1,14,1998.037,42,2.2,15,0
379,1998,1,15,1998.04,45,2.5,11,0
380,1998,1,16,1998.042,73,5.6,13,0
381,1998,1,17,1998.045,73,6.3,19,0
382,1998,1,18,1998.048,64,4.5,13,0
383,1998,1,19,1998.051,54,7.9,12,0
384,1998,1,20,1998.053,24,5.0,11,0
385,1998,1,21,1998.056,20,2.8,15,0
386,1998,1,22,1998.059,22,4.5,18,0
387,1998,1,23,1998.062,56,6.6,10,0
388,1998,1,24,1998.064,92,8.2,16,0
389,1998,1,25,1998.067,105,5.8,16,0
390,1998,1,26,1998.07,94,6.3,23,0
391,1998,1,27,1998.073,85,5.4,19,0
392,1998,1,28,1998.075,74,4.9,14,0
393,1998,1,29,1998.078,66,5.2,19,0
394,1998,1,30,1998.081,39,4.4,20,0
395,1998,1,31,1998.084,25,4.7,17,0
396,1998,2,1,1998.086,21,2.6,20,0
397,1998,2,2,1998.089,19,2.8,23,0
398,1998,2,3,1998.092,35,4.2,22,0
399,1998,2,4,1998.095,35,2.6,22,0
400,1998,2,5,1998.097,27,2.0,18,0
401,1998,2,6,1998.1,37,3.4,17,0
402,1998,2,7,1998.103,34,2.5,20,0
403,1998,2,8,1998.105,35,4.2,20,0
404,1998,2,9,1998.108,41,3.5,24,0
405,1998,2,10,1998.111,52,6.3,23,0
406,1998,2,11,1998.114,50,4.8,24,0
407,1998,2,12,1998.116,59,6.2,19,0
408,1998,2,13,1998.119,59,3.3,20,0
409,1998,2,14,1998.122,95,7.8,20,0
410,1998,2,15,1998.125,81,8.0,16,0
411,1998,2,16,1998.127,77,5.4,22,0
412,1998,2,17,1998.13,72,5.0,20,0
413,1998,2,18,1998.133,65,3.5,21,0
414,1998,2,19,1998.136,44,3.2,20,0
415,1998,2,20,1998.138,35,3.4,19,0
416,1998,2,21,1998.141,26,3.3,21,0
417,1998,2,22,1998.144,35,4.5,21,0
418,1998,2,23,1998.147,49,3.9,24,0
419,1998,2,24,1998.149,74,7.9,20,0
420,1998,2,25,1998.152,72,5.8,15,0
421,1998,2,26,1998.155,56,4.0,16,0
422,1998,2,27,1998.158,54,4.5,16,0
423,1998,2,28,1998.16,67,3.9,16,0
424,1998,3,1,1998.163,88,5.9,18,0
425,1998,3,2,1998.166,100,10.5,17,0
426,1998,3,3,1998.168,52,3.8,16,0
427,1998,3,4,1998.171,54,3.4,19,0
